Puzzle-ID,Link,Answer
A,https://i.postimg.cc/m2SnvtZ4/Puzzle-A.jpg,Love you Paccho Ki Shunte
B,https://i.postimg.cc/QMc4Xw85/Puzzle-B.png,Submission Deadline Extend Please :(
C,https://i.postimg.cc/Pxx8JktR/Puzzle-C.png,Liton Das 100% Discount
D,https://i.postimg.cc/NGKpC31D/Puzzle-D.jpg,sed lyf mon balo nei
E,https://i.postimg.cc/bdXGmD17/Puzzle-E.jpg,Hello 21 Welcome to CSE
F,https://i.postimg.cc/SRY2L7YL/Puzzle-F.jpg,EEE CDI EEE CDI
G,https://i.postimg.cc/R0vtrH29/Puzzle-G.jpg,Liar cat meow
H,https://i.postimg.cc/J4BZjmbw/Puzzle-H.jpg,Kacchi koi khuda lagse
I,https://i.postimg.cc/BvNKJvGF/Puzzle-I.jpg,Zahir Raihan Amader Scorsese
J,https://i.postimg.cc/ZR7px57m/Puzzle-J.jpg,cos2πC :(
P,https://i.postimg.cc/bNV3gSHF/Puzzle-P.jpg,BUET e onek chill FALSE
Q,https://i.postimg.cc/gc3SFncJ/Puzzle-Q.png,Ebar koro rest BUET CSE Best
