Puzzle-ID,Link,Answer
A,https://postimg.cc/7ffX7PTt,Love you Paccho Ki Shunte
B,https://postimg.cc/t1CtkrVC,Submission Deadline Extend Please :(
C,https://postimg.cc/zLsf26HC,Liton Das 100% Discount
D,https://postimg.cc/WtPGhfYq,sed lyf mon balo nei
E,https://postimg.cc/8fHP5CK4,Hello 21 Welcome to CSE
F,https://postimg.cc/D4FwnGgm,EEE CDI EEE CDI
G,https://postimg.cc/zyPvKVJP,Liar cat meow
H,https://postimg.cc/WhTdPBWS,Kacchi koi khuda lagse
I,https://postimg.cc/gwXJDmjc,Zahir Raihan Amader Scorsese
J,https://postimg.cc/vgn4Qbw2,cos2πC :(
P,https://postimg.cc/TpmVYwsr,BUET e onek chill FALSE
Q,https://postimg.cc/Dmyd1fXk,Ebar koro rest BUET CSE Best
